valid_time,lead,src,month,hour,wd_ob,ws_ob,t_fc,t_ob,w_fc,w_ob,d_fc,d_ob,p_fc,p_ob,c_fc,c_ob
2026-08-12T23:00,3,harmonie,8,23,,1.0,11.0,10,3.0,1.0,337.5,,,,70,75
2026-08-12T23:00,3,metno,8,23,,1.0,14.2,10,1.2,1.0,107.6,,0.0,,97.7,75
2026-08-12T23:00,3,jolly,8,23,,1.0,12.63,10,4.26,1.0,36.0,,0.01,,72,75
2026-08-12T23:00,1,dmi,8,23,,1.0,11.9,10,2.6,1.0,332,,0.0,,100,75
2026-08-12T23:00,1,knmi,8,23,,1.0,11.4,10,1.8,1.0,355,,0.0,,100,75
2026-08-12T23:00,1,ecmwf,8,23,,1.0,14.3,10,0.5,1.0,143,,0.0,,85,75
2026-08-12T23:00,1,icon,8,23,,1.0,13.9,10,1.0,1.0,96,,0.0,,93,75
2026-08-12T23:00,1,ukmo,8,23,,1.0,13.7,10,0.1,1.0,45,,0.0,,78,75
2026-08-12T23:00,1,mfr,8,23,,1.0,13.2,10,0.94,1.0,328,,0.1,,73,75
2026-08-12T23:00,1,gfs,8,23,,1.0,14.2,10,4.63,1.0,186,,0.0,,100,75
2026-08-12T23:00,1,metno,8,23,,1.0,14.2,10,1.2,1.0,107.6,,0.0,,97.7,75
2026-08-12T23:00,1,jolly,8,23,,1.0,12.35,10,3.47,1.0,13.6,,0.01,,75,75
